contig	S2754
S2754_000000000001_split_00001	246.856733241052
S2754_000000000001_split_00002	247.48851493059024
S2754_000000000001_split_00003	243.2791095029901
S2754_000000000001_split_00004	239.67843995622326
S2754_000000000001_split_00005	247.0125486129116
S2754_000000000001_split_00006	244.35244019138756
S2754_000000000001_split_00007	242.35871313672922
S2754_000000000001_split_00008	240.8768880612456
S2754_000000000001_split_00009	245.98406676783006
S2754_000000000001_split_00010	230.15888108033622
S2754_000000000001_split_00011	238.53976158940398
S2754_000000000001_split_00012	241.10795666791185
S2754_000000000001_split_00013	241.76372810923124
S2754_000000000001_split_00014	237.69270038419032
S2754_000000000001_split_00015	245.3736804733728
S2754_000000000001_split_00016	248.43628970775094
S2754_000000000001_split_00017	240.3159443419281
S2754_000000000001_split_00018	240.75013518163496
S2754_000000000001_split_00019	243.0947496083683
S2754_000000000001_split_00020	242.54276315789474
S2754_000000000001_split_00021	235.4746540195926
S2754_000000000001_split_00022	232.3364326669766
S2754_000000000001_split_00023	234.26286358954235
S2754_000000000001_split_00024	245.61106623586429
S2754_000000000001_split_00025	240.46558826484477
S2754_000000000001_split_00026	239.39976571253948
S2754_000000000001_split_00027	240.86966633442498
S2754_000000000001_split_00028	244.1643773811911
S2754_000000000001_split_00029	245.08096720134068
S2754_000000000001_split_00030	237.83516659547203
S2754_000000000001_split_00031	247.0333936417679
S2754_000000000001_split_00032	242.29564892274618
S2754_000000000001_split_00033	243.26215496002817
S2754_000000000001_split_00034	238.35750740022456
S2754_000000000001_split_00035	240.68428843307254
S2754_000000000001_split_00036	241.4670491115153
S2754_000000000001_split_00037	243.10415739779523
S2754_000000000001_split_00038	242.6019569064224
S2754_000000000001_split_00039	241.1983590733591
S2754_000000000001_split_00040	243.0081715476582
S2754_000000000001_split_00041	239.5552177836888
S2754_000000000001_split_00042	241.32808261552373
S2754_000000000001_split_00043	244.61615282187853
S2754_000000000001_split_00044	248.06727451946773
S2754_000000000001_split_00045	242.9610237622755
S2754_000000000001_split_00046	233.09736093018768
S2754_000000000001_split_00047	242.26226067369714
S2754_000000000001_split_00048	239.13870699511486
S2754_000000000001_split_00049	234.6189263138032
S2754_000000000001_split_00050	235.0305564001216
S2754_000000000001_split_00051	239.93024273969937
S2754_000000000001_split_00052	243.21448261238336
S2754_000000000001_split_00053	241.21950964504157
S2754_000000000001_split_00054	233.17012687427913
S2754_000000000001_split_00055	246.66422080761942
S2754_000000000001_split_00056	235.20891869401342
S2754_000000000001_split_00057	231.04450923226435
S2754_000000000001_split_00058	246.6606612861234
S2754_000000000001_split_00059	242.66663393558522
S2754_000000000001_split_00060	234.7752635766859
S2754_000000000001_split_00061	238.4213208213511
S2754_000000000001_split_00062	239.24857490864798
S2754_000000000001_split_00063	228.89180497925312
S2754_000000000001_split_00064	233.20116063138346
S2754_000000000001_split_00065	240.0243277179031
S2754_000000000001_split_00066	241.18236543909347
S2754_000000000001_split_00067	233.29836210712705
S2754_000000000001_split_00068	232.61374336371833
S2754_000000000001_split_00069	239.13783019787505
S2754_000000000001_split_00070	238.46469085334695
S2754_000000000001_split_00071	230.5769518956991
S2754_000000000001_split_00072	238.5652459679458
S2754_000000000001_split_00073	234.64620832103864
S2754_000000000002_split_00001	240.03581457214642
S2754_000000000002_split_00002	240.73619539595768
S2754_000000000002_split_00003	235.4245419479267
S2754_000000000002_split_00004	238.786802295253
S2754_000000000002_split_00005	239.33064667291472
S2754_000000000002_split_00006	242.13021318304337
S2754_000000000002_split_00007	236.3332230780135
S2754_000000000002_split_00008	243.7264733591542
S2754_000000000002_split_00009	238.23063825647014
S2754_000000000002_split_00010	247.0061488206754
S2754_000000000002_split_00011	243.5382460884682
S2754_000000000002_split_00012	249.59939262919497
S2754_000000000002_split_00013	240.91134455844093
S2754_000000000002_split_00014	243.4253375694996
S2754_000000000002_split_00015	239.0314248366013
S2754_000000000002_split_00016	248.45628944883455
S2754_000000000002_split_00017	245.85553379040158
S2754_000000000002_split_00018	240.53273983265225
S2754_000000000002_split_00019	242.10140253890253
S2754_000000000002_split_00020	235.2736348122867
S2754_000000000002_split_00021	234.40945051396588
S2754_000000000002_split_00022	245.861997393445
S2754_000000000002_split_00023	243.37479710786485
S2754_000000000002_split_00024	236.28780439418736
S2754_000000000002_split_00025	245.1986304768521
S2754_000000000002_split_00026	236.96483981996295
S2754_000000000002_split_00027	234.60613444173714
S2754_000000000002_split_00028	245.03235614449082
S2754_000000000002_split_00029	236.9501997198734
S2754_000000000002_split_00030	239.42610729425522
S2754_000000000003_split_00001	247.48969642139124
S2754_000000000003_split_00002	244.62858957492173
S2754_000000000003_split_00003	247.33799744626515
S2754_000000000003_split_00004	245.96654370324828
S2754_000000000003_split_00005	247.4798666786776
S2754_000000000003_split_00006	249.32829031433684
S2754_000000000003_split_00007	244.80097111187405
S2754_000000000003_split_00008	249.12776155583714
S2754_000000000003_split_00009	246.98744908591456
S2754_000000000003_split_00010	241.61026770748526
S2754_000000000003_split_00011	249.7167991469562
S2754_000000000003_split_00012	242.83090350094218
S2754_000000000003_split_00013	248.56021128548937
S2754_000000000003_split_00014	239.79000048825742
S2754_000000000003_split_00015	247.06825686264847
S2754_000000000003_split_00016	246.13490667725648
S2754_000000000003_split_00017	243.28612920260517
S2754_000000000003_split_00018	227.4596052470271
S2754_000000000003_split_00019	232.5097072226731
S2754_000000000003_split_00020	248.51391001422894
S2754_000000000003_split_00021	241.49301075268818
S2754_000000000003_split_00022	238.54806147047006
S2754_000000000004_split_00001	243.47137258243163
S2754_000000000004_split_00002	241.98776540297362
S2754_000000000004_split_00003	244.54203970416503
S2754_000000000004_split_00004	247.11746838239355
S2754_000000000004_split_00005	236.8597898591795
S2754_000000000004_split_00006	236.96240092789483
S2754_000000000004_split_00007	245.07342046902278
S2754_000000000004_split_00008	259.6909852850136
S2754_000000000004_split_00009	243.65832442414228
S2754_000000000004_split_00010	244.8882035466461
S2754_000000000004_split_00011	240.86993887586746
S2754_000000000004_split_00012	246.38572586364097
S2754_000000000004_split_00013	241.4942421718038
S2754_000000000004_split_00014	226.2072167317858
S2754_000000000004_split_00015	244.20287012676394
S2754_000000000004_split_00016	243.09746569167584
S2754_000000000004_split_00017	243.11817786999953
S2754_000000000005_split_00001	260.42827412641566
S2754_000000000005_split_00002	256.397124418715
S2754_000000000005_split_00003	257.9149337355888
S2754_000000000005_split_00004	261.1086175500763
