contig	S26ref
S26ref_000000000001_split_00001	104.41475887778999
S26ref_000000000001_split_00002	101.37694366919177
S26ref_000000000001_split_00003	102.27623822123195
S26ref_000000000001_split_00004	99.58170182507703
S26ref_000000000001_split_00005	101.51404331559256
S26ref_000000000001_split_00006	105.07569507687363
S26ref_000000000001_split_00007	102.82546970903809
S26ref_000000000001_split_00008	106.25625905751836
S26ref_000000000001_split_00009	105.0378130786473
S26ref_000000000001_split_00010	105.38057565190236
S26ref_000000000001_split_00011	100.68231406692541
S26ref_000000000001_split_00012	102.5395127468074
S26ref_000000000001_split_00013	104.27587871765161
S26ref_000000000001_split_00014	100.3429003021148
S26ref_000000000001_split_00015	101.41421448821977
S26ref_000000000001_split_00016	99.77141145937313
S26ref_000000000001_split_00017	106.60176711896497
S26ref_000000000001_split_00018	102.94426800532732
S26ref_000000000001_split_00019	101.71482025925431
S26ref_000000000001_split_00020	101.48855309271312
S26ref_000000000001_split_00021	106.37672327081238
S26ref_000000000001_split_00022	101.6
S26ref_000000000001_split_00023	104.21874538018035
S26ref_000000000001_split_00024	102.29984528622049
S26ref_000000000001_split_00025	104.52631039080931
S26ref_000000000001_split_00026	102.65063151008907
S26ref_000000000001_split_00027	100.45597828674825
S26ref_000000000001_split_00028	100.46915849673202
S26ref_000000000001_split_00029	100.79393514811849
S26ref_000000000001_split_00030	102.19660932435802
S26ref_000000000001_split_00031	100.27089284068921
S26ref_000000000001_split_00032	129.6039557457468
S26ref_000000000001_split_00033	127.59446981482411
S26ref_000000000001_split_00034	100.24025404037796
S26ref_000000000001_split_00035	102.87920595533498
S26ref_000000000001_split_00036	102.35911679581739
S26ref_000000000001_split_00037	100.07647836141395
S26ref_000000000001_split_00038	102.68102529314856
S26ref_000000000001_split_00039	103.08301808571281
S26ref_000000000001_split_00040	102.33765804868843
S26ref_000000000001_split_00041	102.23877157251582
S26ref_000000000001_split_00042	103.0647489327099
S26ref_000000000001_split_00043	100.54474861158893
S26ref_000000000001_split_00044	100.87899510160531
S26ref_000000000001_split_00045	93.86360007982438
S26ref_000000000001_split_00046	100.01908509591736
S26ref_000000000001_split_00047	98.15365924774031
S26ref_000000000001_split_00048	100.03833035569271
S26ref_000000000001_split_00049	102.17675092276784
S26ref_000000000001_split_00050	101.07932171941037
S26ref_000000000001_split_00051	102.72807234273854
S26ref_000000000001_split_00052	98.83200294086755
S26ref_000000000001_split_00053	99.03349606070859
S26ref_000000000001_split_00054	98.35254046301988
S26ref_000000000001_split_00055	101.57878887686444
S26ref_000000000001_split_00056	100.32542793351526
S26ref_000000000001_split_00057	103.34600338337916
S26ref_000000000001_split_00058	99.74416045615966
S26ref_000000000001_split_00059	98.83485084762815
S26ref_000000000001_split_00060	99.99883923389437
S26ref_000000000001_split_00061	97.4869109947644
S26ref_000000000001_split_00062	98.23497267759562
S26ref_000000000001_split_00063	102.37154611946363
S26ref_000000000001_split_00064	100.25674637718265
S26ref_000000000001_split_00065	98.7383859440143
S26ref_000000000001_split_00066	100.24069218668065
S26ref_000000000001_split_00067	100.69667814462224
S26ref_000000000001_split_00068	99.47370870172173
S26ref_000000000001_split_00069	100.59222162505496
S26ref_000000000001_split_00070	101.43358511895586
S26ref_000000000001_split_00071	98.75533482248943
S26ref_000000000001_split_00072	99.35630775514372
S26ref_000000000001_split_00073	101.90069080143354
S26ref_000000000001_split_00074	101.70240858966918
S26ref_000000000001_split_00075	97.16111270707651
S26ref_000000000001_split_00076	98.87944777285752
S26ref_000000000001_split_00077	97.71728334956182
S26ref_000000000001_split_00078	101.32580249437743
S26ref_000000000001_split_00079	98.72980994532674
S26ref_000000000001_split_00080	100.82196875774858
S26ref_000000000001_split_00081	95.81399650601172
