contig	S2754ref
S2754ref_000000000001_split_00001	230.08836706318553
S2754ref_000000000001_split_00002	221.84283415419125
S2754ref_000000000001_split_00003	233.69287869354915
S2754ref_000000000001_split_00004	226.68109775555791
S2754ref_000000000001_split_00005	232.56560418648905
S2754ref_000000000001_split_00006	251.79936125276876
S2754ref_000000000001_split_00007	240.2740920576723
S2754ref_000000000001_split_00008	242.60968816829958
S2754ref_000000000001_split_00009	227.6582028280371
S2754ref_000000000001_split_00010	239.1727044211149
S2754ref_000000000001_split_00011	234.6247001834172
S2754ref_000000000001_split_00012	240.0854354525739
S2754ref_000000000001_split_00013	234.27825731419225
S2754ref_000000000001_split_00014	225.6885524749107
S2754ref_000000000001_split_00015	238.46300954032958
S2754ref_000000000001_split_00016	247.50624110368992
S2754ref_000000000001_split_00017	232.00041048796757
S2754ref_000000000001_split_00018	231.90349425504752
S2754ref_000000000001_split_00019	236.78571428571428
S2754ref_000000000001_split_00020	235.15484627542955
S2754ref_000000000001_split_00021	234.23692495176195
S2754ref_000000000001_split_00022	239.24514526943133
S2754ref_000000000001_split_00023	232.05194348066576
S2754ref_000000000001_split_00024	239.02739159646492
S2754ref_000000000001_split_00025	243.60249172668873
S2754ref_000000000001_split_00026	231.52259485924114
S2754ref_000000000001_split_00027	232.67658364488443
S2754ref_000000000001_split_00028	236.5797166741753
S2754ref_000000000001_split_00029	234.09818856501147
S2754ref_000000000001_split_00030	237.61611516545037
S2754ref_000000000001_split_00031	238.86561596568126
S2754ref_000000000001_split_00032	244.54238264878458
S2754ref_000000000001_split_00033	241.73266503921468
S2754ref_000000000001_split_00034	230.0928940997769
S2754ref_000000000001_split_00035	240.24024640657083
S2754ref_000000000001_split_00036	245.05250130896283
S2754ref_000000000001_split_00037	235.70580528574655
S2754ref_000000000001_split_00038	239.88178705364422
S2754ref_000000000001_split_00039	243.48429437402936
S2754ref_000000000001_split_00040	235.80290337686665
S2754ref_000000000001_split_00041	234.2742027334852
S2754ref_000000000001_split_00042	237.87474593495935
S2754ref_000000000001_split_00043	241.83817757241516
S2754ref_000000000001_split_00044	231.60265990570235
S2754ref_000000000001_split_00045	245.47235442740467
S2754ref_000000000001_split_00046	242.34828216726012
S2754ref_000000000001_split_00047	245.88004235578862
S2754ref_000000000001_split_00048	245.7948381893336
S2754ref_000000000001_split_00049	241.46331814312182
S2754ref_000000000001_split_00050	238.01545796012712
S2754ref_000000000001_split_00051	242.95547589359933
S2754ref_000000000001_split_00052	240.8627909289835
S2754ref_000000000001_split_00053	246.0612378177434
S2754ref_000000000001_split_00054	237.63802415791025
S2754ref_000000000001_split_00055	245.08002025829325
S2754ref_000000000001_split_00056	240.7881778164756
S2754ref_000000000001_split_00057	237.19685885302093
S2754ref_000000000001_split_00058	241.83540045192066
S2754ref_000000000001_split_00059	248.04295733489187
S2754ref_000000000001_split_00060	245.35384775050593
S2754ref_000000000001_split_00061	234.1244272118435
S2754ref_000000000001_split_00062	248.71874846263592
S2754ref_000000000001_split_00063	244.929074514378
S2754ref_000000000001_split_00064	236.43150327555222
S2754ref_000000000001_split_00065	239.61334393861415
S2754ref_000000000001_split_00066	245.49329517146342
S2754ref_000000000001_split_00067	241.80731146463935
S2754ref_000000000001_split_00068	230.0603891746813
S2754ref_000000000001_split_00069	233.28339908952958
S2754ref_000000000001_split_00070	235.93343488194972
S2754ref_000000000001_split_00071	245.1596152887826
S2754ref_000000000001_split_00072	241.41959975864845
S2754ref_000000000001_split_00073	242.6437844217152
S2754ref_000000000001_split_00074	242.2346178837407
S2754ref_000000000001_split_00075	245.20106262606384
S2754ref_000000000001_split_00076	244.3711825372985
S2754ref_000000000001_split_00077	242.80238336713995
S2754ref_000000000001_split_00078	238.13734437775904
S2754ref_000000000001_split_00079	239.13112518265953
S2754ref_000000000001_split_00080	242.99150984209388
S2754ref_000000000001_split_00081	229.04830359386781
S2754ref_000000000001_split_00082	241.78670281067198
S2754ref_000000000001_split_00083	241.0527306967985
S2754ref_000000000001_split_00084	244.5752977878616
S2754ref_000000000001_split_00085	243.95054480322403
S2754ref_000000000001_split_00086	247.29727626459143
S2754ref_000000000001_split_00087	239.04299684379365
S2754ref_000000000001_split_00088	243.3192360862219
S2754ref_000000000001_split_00089	247.43695000245808
S2754ref_000000000001_split_00090	248.84404082858
S2754ref_000000000001_split_00091	246.61488152135635
S2754ref_000000000001_split_00092	249.68599838481728
S2754ref_000000000001_split_00093	232.68618488779083
S2754ref_000000000001_split_00094	243.3425569604789
S2754ref_000000000001_split_00095	249.01311494187044
S2754ref_000000000001_split_00096	244.31090843417013
S2754ref_000000000001_split_00097	232.26453179541662
S2754ref_000000000001_split_00098	240.1077487166952
S2754ref_000000000001_split_00099	243.0333266912424
S2754ref_000000000001_split_00100	242.41508379888268
S2754ref_000000000001_split_00101	247.4142402622445
S2754ref_000000000001_split_00102	241.36678775298392
S2754ref_000000000001_split_00103	247.2434566674944
S2754ref_000000000001_split_00104	248.0715687754794
S2754ref_000000000001_split_00105	237.3194047797986
S2754ref_000000000001_split_00106	237.79865370231863
S2754ref_000000000001_split_00107	241.29760403530895
S2754ref_000000000001_split_00108	245.84558641516907
S2754ref_000000000001_split_00109	239.85770234986944
S2754ref_000000000001_split_00110	244.9213559984369
S2754ref_000000000001_split_00111	240.15914714398525
S2754ref_000000000001_split_00112	241.31546691596552
S2754ref_000000000001_split_00113	240.71985241180707
S2754ref_000000000001_split_00114	234.770069323173
S2754ref_000000000001_split_00115	234.83041742644522
S2754ref_000000000001_split_00116	237.9851360851662
S2754ref_000000000001_split_00117	241.5675967319254
S2754ref_000000000001_split_00118	236.2717154494648
S2754ref_000000000001_split_00119	243.7264733591542
S2754ref_000000000001_split_00120	238.2497553816047
S2754ref_000000000001_split_00121	245.50013179397965
S2754ref_000000000001_split_00122	241.0923543146704
S2754ref_000000000001_split_00123	248.58189590143323
S2754ref_000000000001_split_00124	242.22111973923882
S2754ref_000000000001_split_00125	243.05926618138895
S2754ref_000000000001_split_00126	239.33012996066324
S2754ref_000000000001_split_00127	249.44468740681842
S2754ref_000000000001_split_00128	246.26104008557022
S2754ref_000000000001_split_00129	239.30380567609356
S2754ref_000000000001_split_00130	243.0469580202001
S2754ref_000000000001_split_00131	234.91925971120602
S2754ref_000000000001_split_00132	235.73401209035953
S2754ref_000000000001_split_00133	242.8630761766133
S2754ref_000000000001_split_00134	245.70335382616085
S2754ref_000000000001_split_00135	236.87556734152685
S2754ref_000000000001_split_00136	240.64639480739382
S2754ref_000000000001_split_00137	242.5826120093636
S2754ref_000000000001_split_00138	234.30433746425166
S2754ref_000000000001_split_00139	248.25861645115296
S2754ref_000000000001_split_00140	236.12268803945747
S2754ref_000000000001_split_00141	238.0117304895783
S2754ref_000000000001_split_00142	242.76968390048913
S2754ref_000000000001_split_00143	242.84725630705802
S2754ref_000000000001_split_00144	239.60079976592218
S2754ref_000000000001_split_00145	236.0786401802171
S2754ref_000000000001_split_00146	232.26982702756592
S2754ref_000000000001_split_00147	232.95070604665597
S2754ref_000000000001_split_00148	246.21559872702227
S2754ref_000000000001_split_00149	234.4670232654757
S2754ref_000000000001_split_00150	243.96843096441668
S2754ref_000000000001_split_00151	240.9167939708728
S2754ref_000000000001_split_00152	235.5034876961829
S2754ref_000000000001_split_00153	233.13774436090225
S2754ref_000000000001_split_00154	239.2311192442752
S2754ref_000000000001_split_00155	234.1999247594991
S2754ref_000000000001_split_00156	240.8531512402278
S2754ref_000000000001_split_00157	229.72658215360332
S2754ref_000000000001_split_00158	250.0854006694231
S2754ref_000000000001_split_00159	234.2707900437685
S2754ref_000000000001_split_00160	225.83056598325152
S2754ref_000000000001_split_00161	235.62470990337144
S2754ref_000000000001_split_00162	241.79541900005046
S2754ref_000000000001_split_00163	235.0348972863302
S2754ref_000000000001_split_00164	232.00913128087421
S2754ref_000000000001_split_00165	233.5982404692082
S2754ref_000000000001_split_00166	231.37838361338433
S2754ref_000000000001_split_00167	231.2986034361499
S2754ref_000000000001_split_00168	240.07443298969073
S2754ref_000000000001_split_00169	233.426769848094
S2754ref_000000000001_split_00170	222.454521585837
S2754ref_000000000001_split_00171	234.2487261298157
S2754ref_000000000001_split_00172	236.9545153455509
S2754ref_000000000001_split_00173	239.72202797202797
S2754ref_000000000001_split_00174	236.03629032258064
S2754ref_000000000001_split_00175	249.91829466829466
S2754ref_000000000001_split_00176	237.74835445525102
S2754ref_000000000001_split_00177	231.98723862238623
S2754ref_000000000001_split_00178	240.145151357241
S2754ref_000000000001_split_00179	230.77658454411454
S2754ref_000000000001_split_00180	226.12734302354036
S2754ref_000000000002_split_00001	233.89985223318556
S2754ref_000000000002_split_00002	230.67661716586963
S2754ref_000000000002_split_00003	242.32995084826382
S2754ref_000000000002_split_00004	241.08636317343925
S2754ref_000000000002_split_00005	248.02922725976617
S2754ref_000000000002_split_00006	232.7243068482414
S2754ref_000000000002_split_00007	241.70056019448262
S2754ref_000000000002_split_00008	247.51413460638398
S2754ref_000000000002_split_00009	236.24682321846092
S2754ref_000000000002_split_00010	238.1171003717472
S2754ref_000000000002_split_00011	238.8621834150327
S2754ref_000000000002_split_00012	238.34685508177282
S2754ref_000000000002_split_00013	242.4769053117783
S2754ref_000000000002_split_00014	247.18879056047197
S2754ref_000000000002_split_00015	239.65682561095832
S2754ref_000000000002_split_00016	242.4182084723486
S2754ref_000000000002_split_00017	242.7583509044501
S2754ref_000000000002_split_00018	239.44474963976944
S2754ref_000000000002_split_00019	242.40752838699643
S2754ref_000000000002_split_00020	248.86200226457822
S2754ref_000000000002_split_00021	243.37876232817212
S2754ref_000000000002_split_00022	240.52867322701053
S2754ref_000000000002_split_00023	247.840136885847
S2754ref_000000000002_split_00024	244.50634388956556
S2754ref_000000000002_split_00025	247.86279945601004
S2754ref_000000000002_split_00026	240.31436147544864
S2754ref_000000000002_split_00027	240.35009020430056
S2754ref_000000000002_split_00028	242.6924684408052
S2754ref_000000000002_split_00029	245.57271117855336
S2754ref_000000000002_split_00030	246.71055816430265
S2754ref_000000000002_split_00031	244.1125808490979
S2754ref_000000000002_split_00032	244.39625529309728
S2754ref_000000000002_split_00033	246.10100912090044
S2754ref_000000000002_split_00034	249.08407332398608
S2754ref_000000000002_split_00035	247.00081072058754
S2754ref_000000000002_split_00036	242.23386849371101
S2754ref_000000000002_split_00037	242.53122045872928
S2754ref_000000000002_split_00038	240.82483653453207
S2754ref_000000000002_split_00039	247.70516851724477
S2754ref_000000000002_split_00040	244.09565217391304
S2754ref_000000000002_split_00041	251.45501149865848
S2754ref_000000000002_split_00042	247.08980078854535
S2754ref_000000000002_split_00043	247.73428001750716
S2754ref_000000000002_split_00044	245.29881207807838
S2754ref_000000000002_split_00045	243.77982102468286
