contig	S2753ref
S2753ref_000000000001_split_00001	225.83715585114186
S2753ref_000000000001_split_00002	226.46003379589328
S2753ref_000000000001_split_00003	227.62267777065983
S2753ref_000000000001_split_00004	221.72439516129032
S2753ref_000000000001_split_00005	226.14252723530296
S2753ref_000000000001_split_00006	221.65007374631267
S2753ref_000000000001_split_00007	215.7640616032141
S2753ref_000000000001_split_00008	212.80661677825915
S2753ref_000000000001_split_00009	219.48458482120404
S2753ref_000000000001_split_00010	227.8430160075799
S2753ref_000000000001_split_00011	222.94549172152404
S2753ref_000000000001_split_00012	219.5039039335837
S2753ref_000000000001_split_00013	218.01452023352127
S2753ref_000000000001_split_00014	221.57705426356588
S2753ref_000000000001_split_00015	230.41145680461796
S2753ref_000000000001_split_00016	227.06780938976576
S2753ref_000000000001_split_00017	219.45402203399215
S2753ref_000000000001_split_00018	223.97327639341376
S2753ref_000000000001_split_00019	233.81236930154748
S2753ref_000000000001_split_00020	227.0580259222333
S2753ref_000000000001_split_00021	222.94638091719014
S2753ref_000000000001_split_00022	228.92422439827948
S2753ref_000000000001_split_00023	226.03720319509793
S2753ref_000000000001_split_00024	221.00247243237897
S2753ref_000000000001_split_00025	224.48115842603028
S2753ref_000000000001_split_00026	224.64840499306518
S2753ref_000000000001_split_00027	229.29137730014702
S2753ref_000000000001_split_00028	225.76375956962548
S2753ref_000000000001_split_00029	224.5543567265546
S2753ref_000000000001_split_00030	223.64312524693796
S2753ref_000000000001_split_00031	222.435836212152
S2753ref_000000000001_split_00032	225.0870406189555
S2753ref_000000000001_split_00033	234.0622201148517
S2753ref_000000000001_split_00034	232.5344456158042
S2753ref_000000000001_split_00035	223.92125288428494
S2753ref_000000000001_split_00036	227.6579444019383
S2753ref_000000000001_split_00037	227.79108327192336
S2753ref_000000000001_split_00038	225.91595845136922
S2753ref_000000000001_split_00039	231.371609721733
S2753ref_000000000001_split_00040	221.86126792226608
S2753ref_000000000001_split_00041	226.80718610819196
S2753ref_000000000001_split_00042	228.0655327663832
S2753ref_000000000001_split_00043	229.37031043107254
S2753ref_000000000001_split_00044	229.35456642550068
S2753ref_000000000001_split_00045	226.78997842244067
S2753ref_000000000001_split_00046	221.9998505306163
S2753ref_000000000001_split_00047	228.13424824023903
S2753ref_000000000001_split_00048	229.61462510024057
S2753ref_000000000001_split_00049	226.22350595804448
S2753ref_000000000001_split_00050	232.58452706396938
S2753ref_000000000001_split_00051	223.72090238528594
S2753ref_000000000001_split_00052	228.8913998072186
S2753ref_000000000001_split_00053	225.5311995967742
S2753ref_000000000001_split_00054	233.49497584541064
S2753ref_000000000001_split_00055	232.474609375
S2753ref_000000000001_split_00056	227.84751912139635
S2753ref_000000000001_split_00057	236.30348193947282
S2753ref_000000000001_split_00058	225.53607772358973
S2753ref_000000000001_split_00059	220.1928744226963
S2753ref_000000000001_split_00060	224.43767788791834
S2753ref_000000000001_split_00061	228.00101641510392
S2753ref_000000000001_split_00062	225.41502906172155
S2753ref_000000000001_split_00063	221.6559593800107
S2753ref_000000000001_split_00064	223.26501382852626
S2753ref_000000000001_split_00065	232.81094477038235
S2753ref_000000000001_split_00066	221.18050125313283
S2753ref_000000000001_split_00067	224.23232423819957
S2753ref_000000000001_split_00068	226.1854659389529
S2753ref_000000000001_split_00069	226.44477858078284
S2753ref_000000000001_split_00070	227.94609589738369
S2753ref_000000000001_split_00071	220.90013488534746
S2753ref_000000000001_split_00072	225.15823941516905
S2753ref_000000000001_split_00073	227.4776352830779
S2753ref_000000000001_split_00074	227.29322591409638
S2753ref_000000000001_split_00075	226.14198151125402
S2753ref_000000000001_split_00076	230.22486207067945
S2753ref_000000000001_split_00077	226.640199252802
S2753ref_000000000001_split_00078	231.44671083520268
S2753ref_000000000001_split_00079	227.45227980741998
S2753ref_000000000001_split_00080	219.13166896410885
S2753ref_000000000001_split_00081	225.21250361236875
S2753ref_000000000001_split_00082	226.93616366712814
S2753ref_000000000001_split_00083	227.81611717872818
S2753ref_000000000001_split_00084	219.77986957534353
S2753ref_000000000001_split_00085	228.38089630809725
S2753ref_000000000001_split_00086	231.44195749276003
S2753ref_000000000001_split_00087	232.99679101484156
S2753ref_000000000001_split_00088	232.93853606027986
S2753ref_000000000001_split_00089	227.82927619400223
S2753ref_000000000001_split_00090	227.87103274559195
S2753ref_000000000001_split_00091	228.73841853035142
S2753ref_000000000001_split_00092	227.71797752808988
S2753ref_000000000001_split_00093	226.38689661911278
S2753ref_000000000001_split_00094	224.32585131404028
S2753ref_000000000001_split_00095	229.6149049116116
S2753ref_000000000001_split_00096	213.0789579359502
S2753ref_000000000001_split_00097	225.4021646964936
S2753ref_000000000001_split_00098	219.4419211075289
S2753ref_000000000001_split_00099	223.8431148900871
S2753ref_000000000001_split_00100	227.7438708391469
S2753ref_000000000001_split_00101	231.53508991634524
S2753ref_000000000001_split_00102	228.33852491961414
S2753ref_000000000001_split_00103	222.75078815442657
S2753ref_000000000001_split_00104	219.91585127201566
S2753ref_000000000001_split_00105	226.06073170731707
S2753ref_000000000001_split_00106	227.3830808459577
S2753ref_000000000001_split_00107	228.77336754200624
S2753ref_000000000001_split_00108	218.32489519509835
S2753ref_000000000001_split_00109	219.9350733251502
S2753ref_000000000001_split_00110	221.7338946355545
S2753ref_000000000001_split_00111	229.09958506224066
S2753ref_000000000001_split_00112	226.0410536063381
S2753ref_000000000001_split_00113	230.41981155591006
S2753ref_000000000001_split_00114	232.71593773165307
S2753ref_000000000001_split_00115	233.79510283038078
S2753ref_000000000001_split_00116	230.21251862891208
S2753ref_000000000001_split_00117	224.55211686060906
S2753ref_000000000001_split_00118	227.43949789093867
S2753ref_000000000001_split_00119	224.93363395745516
S2753ref_000000000001_split_00120	227.11094232619374
S2753ref_000000000001_split_00121	226.59055157061587
S2753ref_000000000001_split_00122	228.83846976720494
S2753ref_000000000001_split_00123	229.82365432098766
S2753ref_000000000001_split_00124	231.01084078533248
S2753ref_000000000001_split_00125	226.48983822042467
S2753ref_000000000001_split_00126	233.39051041717255
S2753ref_000000000001_split_00127	229.02584903758944
S2753ref_000000000001_split_00128	226.40018148820326
S2753ref_000000000001_split_00129	226.0416505977632
S2753ref_000000000001_split_00130	235.77048008171604
S2753ref_000000000001_split_00131	233.02135922330098
S2753ref_000000000001_split_00132	231.87070425943853
S2753ref_000000000001_split_00133	217.07779380271842
S2753ref_000000000001_split_00134	232.17555977666493
S2753ref_000000000001_split_00135	226.20724175714713
S2753ref_000000000001_split_00136	228.93504241458498
S2753ref_000000000001_split_00137	223.53198494825963
S2753ref_000000000001_split_00138	228.2576145082539
S2753ref_000000000001_split_00139	234.97037424757917
S2753ref_000000000001_split_00140	219.7592187579472
S2753ref_000000000001_split_00141	224.927056030859
S2753ref_000000000001_split_00142	232.56795541966665
S2753ref_000000000001_split_00143	222.29259896729775
S2753ref_000000000001_split_00144	225.56886657101865
S2753ref_000000000001_split_00145	231.1660386591632
S2753ref_000000000001_split_00146	225.625757002271
S2753ref_000000000001_split_00147	221.56628295581137
S2753ref_000000000001_split_00148	224.69181218861658
S2753ref_000000000001_split_00149	224.62799711555795
S2753ref_000000000001_split_00150	221.89313020013492
S2753ref_000000000001_split_00151	219.7268756540334
S2753ref_000000000001_split_00152	232.46930064572618
S2753ref_000000000001_split_00153	227.92837248410322
S2753ref_000000000001_split_00154	221.7418545156152
S2753ref_000000000001_split_00155	223.9097696969697
S2753ref_000000000001_split_00156	223.3341968911917
S2753ref_000000000001_split_00157	226.8918086635188
S2753ref_000000000001_split_00158	223.02048347416837
S2753ref_000000000001_split_00159	225.37452954459917
S2753ref_000000000001_split_00160	227.29131680828598
S2753ref_000000000001_split_00161	226.35804070231444
S2753ref_000000000001_split_00162	223.34608251040152
S2753ref_000000000001_split_00163	216.69092002405293
S2753ref_000000000001_split_00164	226.43673998811005
S2753ref_000000000001_split_00165	221.09323884871137
S2753ref_000000000001_split_00166	226.50475156122727
S2753ref_000000000001_split_00167	222.86534550442227
S2753ref_000000000001_split_00168	218.47862812945246
S2753ref_000000000001_split_00169	227.02608738053442
S2753ref_000000000001_split_00170	232.72070993598084
S2753ref_000000000001_split_00171	223.9278853186406
S2753ref_000000000001_split_00172	226.63867992118932
S2753ref_000000000001_split_00173	219.7342527669931
S2753ref_000000000001_split_00174	225.99235385210994
S2753ref_000000000001_split_00175	216.24962056055853
S2753ref_000000000001_split_00176	218.87407331663172
S2753ref_000000000001_split_00177	223.58229196938873
S2753ref_000000000001_split_00178	223.73782357376226
S2753ref_000000000001_split_00179	223.92396463006443
S2753ref_000000000001_split_00180	223.827635965567
S2753ref_000000000002_split_00001	227.16589107645103
S2753ref_000000000002_split_00002	226.9892270531401
S2753ref_000000000002_split_00003	221.899277348617
S2753ref_000000000002_split_00004	226.13019693654266
S2753ref_000000000002_split_00005	231.77841807333368
S2753ref_000000000002_split_00006	221.8633472470682
S2753ref_000000000002_split_00007	228.91921408024962
S2753ref_000000000002_split_00008	226.99598756144047
S2753ref_000000000002_split_00009	223.3026978950489
S2753ref_000000000002_split_00010	228.94670933630167
S2753ref_000000000002_split_00011	232.1464602254076
S2753ref_000000000002_split_00012	227.5169016145554
S2753ref_000000000002_split_00013	222.43410119906463
S2753ref_000000000002_split_00014	235.3523071741327
S2753ref_000000000002_split_00015	225.97959896902714
S2753ref_000000000002_split_00016	237.25360376308734
S2753ref_000000000002_split_00017	230.57261002264448
S2753ref_000000000002_split_00018	224.27104200926894
S2753ref_000000000002_split_00019	225.98561220548476
S2753ref_000000000002_split_00020	222.4007229673093
S2753ref_000000000002_split_00021	228.11308666501117
S2753ref_000000000002_split_00022	229.43927463612502
S2753ref_000000000002_split_00023	227.18776272769733
S2753ref_000000000002_split_00024	229.05721683505104
S2753ref_000000000002_split_00025	235.04327427002744
S2753ref_000000000002_split_00026	230.29698006604863
S2753ref_000000000002_split_00027	227.71505084745763
S2753ref_000000000002_split_00028	224.6789145380868
S2753ref_000000000002_split_00029	224.89310180022304
S2753ref_000000000002_split_00030	224.31762492764807
S2753ref_000000000002_split_00031	226.20898746180592
S2753ref_000000000002_split_00032	235.26887474689036
S2753ref_000000000002_split_00033	225.42621636518516
S2753ref_000000000002_split_00034	229.4869335769016
S2753ref_000000000002_split_00035	231.42005525129647
S2753ref_000000000002_split_00036	226.17413009094503
S2753ref_000000000002_split_00037	231.25780717968675
S2753ref_000000000002_split_00038	227.0922838889998
S2753ref_000000000002_split_00039	232.16472133798192
S2753ref_000000000002_split_00040	233.51842654216748
S2753ref_000000000002_split_00041	226.9234862938046
S2753ref_000000000002_split_00042	227.3403071444469
S2753ref_000000000002_split_00043	227.99764283309014
S2753ref_000000000002_split_00044	231.90056524944703
S2753ref_000000000002_split_00045	224.31348841954903
S2753ref_000000000002_split_00046	228.31692094313453
S2753ref_000000000002_split_00047	226.01766392305558
S2753ref_000000000002_split_00048	220.5037427361371
S2753ref_000000000002_split_00049	228.45588670679956
S2753ref_000000000002_split_00050	234.58990937786376
S2753ref_000000000002_split_00051	223.64643584521386
S2753ref_000000000002_split_00052	213.25071986836693
S2753ref_000000000002_split_00053	220.9615257673629
S2753ref_000000000002_split_00054	224.33083041051228
S2753ref_000000000002_split_00055	229.91050927288785
S2753ref_000000000002_split_00056	224.85139516343344
S2753ref_000000000002_split_00057	230.25273891391984
S2753ref_000000000002_split_00058	229.97276925526833
S2753ref_000000000002_split_00059	229.27415033140602
S2753ref_000000000002_split_00060	224.19882068339885
S2753ref_000000000002_split_00061	224.83700503276043
S2753ref_000000000002_split_00062	227.9925141972122
S2753ref_000000000002_split_00063	226.82960015718638
S2753ref_000000000002_split_00064	226.9348213830709
S2753ref_000000000002_split_00065	227.27664430780698
S2753ref_000000000002_split_00066	229.617840824567
S2753ref_000000000002_split_00067	226.70987684850883
S2753ref_000000000002_split_00068	232.53435897435898
S2753ref_000000000002_split_00069	228.3821511451922
S2753ref_000000000002_split_00070	222.1735858460005
S2753ref_000000000002_split_00071	229.86026529996985
S2753ref_000000000002_split_00072	228.87050394076905
S2753ref_000000000002_split_00073	223.98032
S2753ref_000000000002_split_00074	217.78196555217832
S2753ref_000000000002_split_00075	230.28689766643095
S2753ref_000000000002_split_00076	227.9938859007953
S2753ref_000000000002_split_00077	229.5988533703961
S2753ref_000000000002_split_00078	226.5571111111111
S2753ref_000000000002_split_00079	227.75997509220673
S2753ref_000000000002_split_00080	231.32323856613104
S2753ref_000000000002_split_00081	226.75954084675016
S2753ref_000000000003_split_00001	239.6630543849087
S2753ref_000000000003_split_00002	237.9440319031903
S2753ref_000000000003_split_00003	240.4137998132005
S2753ref_000000000003_split_00004	235.38137524931142
S2753ref_000000000003_split_00005	233.90023402523403
S2753ref_000000000003_split_00006	231.94161073825504
S2753ref_000000000003_split_00007	236.01584891335295
S2753ref_000000000003_split_00008	232.88750728579754
S2753ref_000000000003_split_00009	230.70136945221913
S2753ref_000000000003_split_00010	237.80467363439163
S2753ref_000000000003_split_00011	240.1649270368869
S2753ref_000000000003_split_00012	239.18415334846216
S2753ref_000000000003_split_00013	241.33382131132996
S2753ref_000000000003_split_00014	235.16955347211186
S2753ref_000000000003_split_00015	236.92145369284876
S2753ref_000000000003_split_00016	240.2594435320259
