contig	S2052ref
S2052ref_000000000001_split_00001	227.9763630003498
S2052ref_000000000001_split_00002	220.38615438212312
S2052ref_000000000001_split_00003	213.78210303729335
S2052ref_000000000001_split_00004	210.00609508329947
S2052ref_000000000001_split_00005	213.8003285926991
S2052ref_000000000001_split_00006	220.11570898980537
S2052ref_000000000001_split_00007	212.02914446881854
S2052ref_000000000001_split_00008	226.35654922755316
S2052ref_000000000001_split_00009	220.138998059798
S2052ref_000000000001_split_00010	220.0556643075842
S2052ref_000000000001_split_00011	214.1510507662357
S2052ref_000000000001_split_00012	214.3609849631648
S2052ref_000000000001_split_00013	216.21178079515482
S2052ref_000000000001_split_00014	210.35325894885648
S2052ref_000000000001_split_00015	217.45936183022275
S2052ref_000000000001_split_00016	216.3337577746217
S2052ref_000000000001_split_00017	214.75434135785773
S2052ref_000000000001_split_00018	212.2510525149568
S2052ref_000000000001_split_00019	217.32700015616052
S2052ref_000000000001_split_00020	217.5110586544876
S2052ref_000000000001_split_00021	214.37647401368466
S2052ref_000000000001_split_00022	212.5638151525959
S2052ref_000000000001_split_00023	214.92988552739166
S2052ref_000000000001_split_00024	220.79600481347774
S2052ref_000000000001_split_00025	215.33058889198995
S2052ref_000000000001_split_00026	219.1250474898236
S2052ref_000000000001_split_00027	223.67485133320545
S2052ref_000000000001_split_00028	215.66695329714622
S2052ref_000000000001_split_00029	223.1722901625657
S2052ref_000000000001_split_00030	210.67330285601926
S2052ref_000000000001_split_00031	214.99773153170923
S2052ref_000000000001_split_00032	217.59190383232303
S2052ref_000000000001_split_00033	214.93650332024623
S2052ref_000000000001_split_00034	210.43926073926073
S2052ref_000000000001_split_00035	210.98287739616615
S2052ref_000000000001_split_00036	212.23442280608032
S2052ref_000000000001_split_00037	222.81694705973143
S2052ref_000000000001_split_00038	217.1127433538352
S2052ref_000000000001_split_00039	215.06794840593818
S2052ref_000000000001_split_00040	218.48991182185026
S2052ref_000000000001_split_00041	214.5639517192413
S2052ref_000000000001_split_00042	215.66484710883532
S2052ref_000000000001_split_00043	216.28745756039956
S2052ref_000000000001_split_00044	215.26350931677018
S2052ref_000000000001_split_00045	214.59743615224087
S2052ref_000000000001_split_00046	212.27880003915044
S2052ref_000000000001_split_00047	220.86438183347352
S2052ref_000000000001_split_00048	222.9005310750682
S2052ref_000000000001_split_00049	219.42869180535075
S2052ref_000000000001_split_00050	223.46890457667004
S2052ref_000000000001_split_00051	226.25814623485
S2052ref_000000000001_split_00052	220.35508693322944
S2052ref_000000000001_split_00053	220.58072942831308
S2052ref_000000000001_split_00054	214.79439686306884
S2052ref_000000000001_split_00055	217.99439152927525
S2052ref_000000000001_split_00056	217.46541706663973
S2052ref_000000000001_split_00057	225.59059699145658
S2052ref_000000000001_split_00058	218.80574452003023
S2052ref_000000000001_split_00059	204.72769423558898
S2052ref_000000000001_split_00060	222.05998327685606
S2052ref_000000000001_split_00061	217.927122263748
S2052ref_000000000001_split_00062	215.41934944859085
S2052ref_000000000001_split_00063	216.83403757063584
S2052ref_000000000001_split_00064	218.27433672954706
S2052ref_000000000001_split_00065	212.73601126870022
S2052ref_000000000001_split_00066	220.00404838552336
S2052ref_000000000001_split_00067	218.84743040685225
S2052ref_000000000001_split_00068	216.4857569769123
S2052ref_000000000001_split_00069	216.11146249445184
S2052ref_000000000001_split_00070	219.95006570302235
S2052ref_000000000001_split_00071	223.55506369583395
S2052ref_000000000001_split_00072	209.83992104863606
S2052ref_000000000001_split_00073	214.2286198137172
S2052ref_000000000001_split_00074	222.23897261302758
S2052ref_000000000001_split_00075	217.56696339267853
S2052ref_000000000001_split_00076	217.60812928501468
S2052ref_000000000001_split_00077	215.55217884001237
S2052ref_000000000001_split_00078	216.92658711662162
S2052ref_000000000001_split_00079	216.7671089385475
S2052ref_000000000001_split_00080	222.97533444816054
S2052ref_000000000001_split_00081	208.58340160971613
S2052ref_000000000001_split_00082	213.59302796919334
S2052ref_000000000001_split_00083	216.40423329710708
S2052ref_000000000001_split_00084	204.02704533359136
S2052ref_000000000001_split_00085	213.20769269802608
S2052ref_000000000001_split_00086	211.73719741896983
S2052ref_000000000001_split_00087	208.8735065710872
S2052ref_000000000001_split_00088	214.33506352266548
S2052ref_000000000001_split_00089	218.26835192069393
S2052ref_000000000001_split_00090	211.20327586206898
S2052ref_000000000001_split_00091	213.8685155268354
S2052ref_000000000001_split_00092	215.20807696064068
S2052ref_000000000001_split_00093	216.34290705441094
S2052ref_000000000001_split_00094	217.97033267725985
S2052ref_000000000001_split_00095	219.63418204632194
S2052ref_000000000001_split_00096	217.45579283022514
S2052ref_000000000001_split_00097	215.3102102862934
S2052ref_000000000001_split_00098	218.7571973638571
S2052ref_000000000001_split_00099	213.6398190964988
S2052ref_000000000001_split_00100	222.497483137018
S2052ref_000000000001_split_00101	218.04612940066536
S2052ref_000000000001_split_00102	214.1474221016188
S2052ref_000000000001_split_00103	216.71304130162704
S2052ref_000000000001_split_00104	210.5883404300058
S2052ref_000000000001_split_00105	212.4941408223053
S2052ref_000000000001_split_00106	210.70738511231832
S2052ref_000000000001_split_00107	218.9779426816786
S2052ref_000000000001_split_00108	213.96483158449524
S2052ref_000000000001_split_00109	217.51030110935025
S2052ref_000000000001_split_00110	214.25646799319884
S2052ref_000000000001_split_00111	220.36461446503287
S2052ref_000000000001_split_00112	215.87569389373513
S2052ref_000000000001_split_00113	221.21055217134997
S2052ref_000000000001_split_00114	212.6764230187301
S2052ref_000000000001_split_00115	214.98682379140763
S2052ref_000000000001_split_00116	219.6303405884724
S2052ref_000000000001_split_00117	213.5200062276195
S2052ref_000000000001_split_00118	219.7533279951957
S2052ref_000000000001_split_00119	217.08672688681574
S2052ref_000000000001_split_00120	218.71706139342376
S2052ref_000000000001_split_00121	212.8386612958519
S2052ref_000000000001_split_00122	217.65955487336916
S2052ref_000000000001_split_00123	210.31576032225578
S2052ref_000000000001_split_00124	215.09428812465882
S2052ref_000000000001_split_00125	214.559018404908
S2052ref_000000000001_split_00126	217.9265430530861
S2052ref_000000000001_split_00127	223.55692383778438
S2052ref_000000000001_split_00128	225.19799640380168
S2052ref_000000000001_split_00129	213.76435194318407
S2052ref_000000000001_split_00130	214.7150851822504
S2052ref_000000000001_split_00131	217.3830422451112
S2052ref_000000000001_split_00132	221.5982262966469
S2052ref_000000000001_split_00133	212.93391824728675
S2052ref_000000000001_split_00134	210.27366315378612
S2052ref_000000000001_split_00135	220.61890184645287
S2052ref_000000000001_split_00136	217.54473403444598
S2052ref_000000000001_split_00137	213.09995899118312
S2052ref_000000000001_split_00138	213.05139931401303
S2052ref_000000000001_split_00139	236.4862857708684
S2052ref_000000000001_split_00140	220.66804957734792
S2052ref_000000000001_split_00141	214.871775177337
S2052ref_000000000001_split_00142	231.3869263607257
S2052ref_000000000001_split_00143	221.9744938467646
S2052ref_000000000001_split_00144	212.4291370151348
S2052ref_000000000001_split_00145	207.63062745493
S2052ref_000000000001_split_00146	211.45979055522625
S2052ref_000000000001_split_00147	215.56483041921214
S2052ref_000000000001_split_00148	223.68659018605996
S2052ref_000000000001_split_00149	213.61282614928797
S2052ref_000000000001_split_00150	212.68820339676694
S2052ref_000000000001_split_00151	213.52923991336323
S2052ref_000000000001_split_00152	222.84084736556218
S2052ref_000000000001_split_00153	213.24409973353636
S2052ref_000000000001_split_00154	205.41210285890264
S2052ref_000000000001_split_00155	209.79566933222557
S2052ref_000000000001_split_00156	218.4778739425945
S2052ref_000000000001_split_00157	205.2420666013712
S2052ref_000000000001_split_00158	211.2261468120384
S2052ref_000000000001_split_00159	210.613025273672
S2052ref_000000000001_split_00160	217.4938773486689
S2052ref_000000000001_split_00161	209.3856517028593
S2052ref_000000000001_split_00162	207.6459554513482
S2052ref_000000000001_split_00163	216.42383304280457
S2052ref_000000000001_split_00164	214.07614133833647
S2052ref_000000000001_split_00165	213.62629404617255
S2052ref_000000000001_split_00166	216.50724930538016
S2052ref_000000000002_split_00001	217.2701029881792
S2052ref_000000000002_split_00002	216.7675226216679
S2052ref_000000000002_split_00003	215.81802256685043
S2052ref_000000000002_split_00004	218.92479882955377
S2052ref_000000000002_split_00005	218.16240440352672
S2052ref_000000000002_split_00006	214.25184169079915
S2052ref_000000000002_split_00007	210.99935872138911
S2052ref_000000000002_split_00008	209.7971526604189
S2052ref_000000000002_split_00009	209.70811125109023
S2052ref_000000000002_split_00010	217.4593949044586
S2052ref_000000000002_split_00011	218.64128701869654
S2052ref_000000000002_split_00012	210.83859108748572
S2052ref_000000000002_split_00013	221.32930696059188
S2052ref_000000000002_split_00014	220.68727272727273
S2052ref_000000000002_split_00015	210.78255411255412
S2052ref_000000000002_split_00016	217.6018981586724
S2052ref_000000000002_split_00017	210.78611324622085
S2052ref_000000000002_split_00018	224.27863355848194
S2052ref_000000000002_split_00019	215.6025966183575
S2052ref_000000000002_split_00020	215.6713123268698
S2052ref_000000000002_split_00021	222.11465935250035
S2052ref_000000000002_split_00022	208.67094754038845
S2052ref_000000000002_split_00023	211.17386357171304
S2052ref_000000000002_split_00024	211.9804078180793
S2052ref_000000000002_split_00025	215.49855979340484
S2052ref_000000000002_split_00026	218.18513134669297
S2052ref_000000000002_split_00027	215.77083852945577
S2052ref_000000000002_split_00028	215.68743452885718
S2052ref_000000000002_split_00029	218.1980595980596
S2052ref_000000000002_split_00030	222.40185015756836
S2052ref_000000000002_split_00031	214.9042632362322
S2052ref_000000000002_split_00032	219.67792907224876
S2052ref_000000000002_split_00033	220.49455792455643
S2052ref_000000000002_split_00034	215.49026096822996
S2052ref_000000000002_split_00035	219.28379094667656
S2052ref_000000000002_split_00036	221.14646884821593
S2052ref_000000000002_split_00037	217.62251798950388
S2052ref_000000000002_split_00038	220.4401469735061
S2052ref_000000000002_split_00039	216.7092151563058
S2052ref_000000000002_split_00040	221.1569976076555
S2052ref_000000000002_split_00041	215.3077288489858
S2052ref_000000000002_split_00042	222.78111237970967
S2052ref_000000000002_split_00043	221.8970174961472
S2052ref_000000000002_split_00044	220.22902027992004
S2052ref_000000000002_split_00045	212.80775300848293
S2052ref_000000000002_split_00046	216.87236761156595
S2052ref_000000000002_split_00047	223.42004253845772
S2052ref_000000000002_split_00048	221.42032380654902
S2052ref_000000000002_split_00049	215.16431554524362
S2052ref_000000000002_split_00050	215.62556860256004
S2052ref_000000000002_split_00051	218.84412733260154
S2052ref_000000000002_split_00052	222.79866497438067
S2052ref_000000000002_split_00053	220.07863903811716
S2052ref_000000000002_split_00054	217.00342763595435
S2052ref_000000000002_split_00055	218.95175655616032
