contig	S2753
S2753_000000000001	226.58786565857997
S2753_000000000002	227.1731004504497
S2753_000000000003	226.9257175443638
S2753_000000000004	227.7577076152032
S2753_000000000005	236.97397750989003
S2753_000000000006	228.18488616434678
S2753_000000000007	225.3703254476355
S2753_000000000008	226.81984598491326
S2753_000000000009	228.57954663900372
S2753_000000000010	224.23911848842644
S2753_000000000011	222.59551272135425
S2753_000000000012	226.34627482761462
S2753_000000000013	225.35366249504094
S2753_000000000014	223.28785962983324
S2753_000000000015	221.83237445910703
S2753_000000000016	224.63075883711807
S2753_000000000017	228.29434994647318
S2753_000000000018	227.20311026688714
S2753_000000000019	228.97966050087538
S2753_000000000020	220.63808603908166
S2753_000000000021	215.96371722846442
S2753_000000000022	207.2417120237506
S2753_000000000023	218.06356356356358
S2753_000000000024	202.26412213740457
S2753_000000000025	195.03530127814972
S2753_000000000026	2546.9996410624553
S2753_000000000027	201.7753655294639
S2753_000000000028	208.3567174056916
S2753_000000000029	274.85383502170765
S2753_000000000030	2351.686165273909
