sample	contig	n_splits	contig_mean_cov	contig_median_cov	contig_std_cov	contig_cv	min_split_cov	max_split_cov	heterogeneous
S2754	S2754_000000000014	5	236.41	233.54	8.22	0.0348	228.76	245.94	False
S2754	S2754_000000000015	5	229.26	230.22	4.73	0.0206	222.19	233.45	False
S2754	S2754_000000000016	4	234.76	234.84	2.3	0.0098	231.87	237.49	False
S2754	S2754_000000000017	4	236.12	236.78	4.73	0.02	230.13	240.79	False
S2754	S2754_000000000018	3	239.57	240.56	6.15	0.0257	232.98	245.17	False
S2754	S2754_000000000019	3	243.86	242.59	4.86	0.0199	239.76	249.23	False
S2754	S2754_000000000020	1	238.41	238.41	0.0	0.0	238.41	238.41	False
S2754	S2754_000000000021	1	232.83	232.83	0.0	0.0	232.83	232.83	False
S2754	S2754_000000000022	1	218.02	218.02	0.0	0.0	218.02	218.02	False
S2754	S2754_000000000023	1	237.28	237.28	0.0	0.0	237.28	237.28	False
S2754	S2754_000000000024	1	224.91	224.91	0.0	0.0	224.91	224.91	False
S2754	S2754_000000000025	1	206.35	206.35	0.0	0.0	206.35	206.35	False
S2754	S2754_000000000026	1	2695.67	2695.67	0.0	0.0	2695.67	2695.67	False
S2754	S2754_000000000027	1	214.45	214.45	0.0	0.0	214.45	214.45	False
S2754	S2754_000000000028	1	222.54	222.54	0.0	0.0	222.54	222.54	False
S2754	S2754_000000000029	1	300.7	300.7	0.0	0.0	300.7	300.7	False
S2754	S2754_000000000030	1	660.15	660.15	0.0	0.0	660.15	660.15	False
S2754	S2754_000000000031	1	2519.3	2519.3	0.0	0.0	2519.3	2519.3	False
S2052ref	S2052ref_000000000001	166	216.3	215.99	4.85	0.0224	204.03	236.49	False
S2052ref	S2052ref_000000000002	94	216.76	217.3	4.25	0.0196	199.19	224.28	False
S2052ref	S2052ref_000000000003	11	347.42	347.43	11.87	0.0342	323.62	362.44	False
